60753,1117385,7.4,Felon (2008),18 | 1h 44min | Crime/ Thriller | 18 July 2008 (Canada),A family man convicted of killing an intruder must cope with life afterward in the violent penal system.
60756,838283,6.9,Step Brothers (2008),18 | 1h 38min | Comedy | 25 July 2008 (USA),Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
60758,412536,6.7,Brideshead Revisited (2008),PG-13 | 2h 14min | Drama/ Romance | 15 August 2008 (USA),A poignant story of forbidden love and the loss of innocence set in England prior to World War II.
60760,443701,5.9,The X Files: I Want to Believe (2008),15 | 1h 44min | Crime/ Drama/ Horror | 13 August 2008 (South Korea),Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.
60763,486259,6.4,American Teen (2008),PG-13 | 1h 35min | Documentary | 15 August 2008 (USA),A documentary on seniors at a high school in a small Indiana town and their various cliques.
60766,1155592,7.7,Man on Wire (2008),12 | 1h 34min | Documentary/ Biography/ Crime | 4 February 2010 (South Korea),"A look at tightrope walker Philippe Petit's daring, but illegal, high-wire routine performed between New York City's World Trade Center's twin towers in 1974, what some consider, 'the artistic crime of the century'."
60768,1157620,7.1,CSNY/Deja Vu (2008),R | 1h 36min | Documentary/ Music | 10 July 2008 (Germany),"The war in Iraq is the backdrop as the Crosby, Stills, Nash, and Young 'Freedom of Speech Tour' crisscrosses North America. Echoes of Vietnam-era anti-war sentiment abound as the band connects with today's audiences."
60803,63230,6.9,The Little Drummer Boy (1968),25min | Animation/ Short/ Drama | TV Short 19 December 1968,An orphan drummer boy who hated humanity finds his life changed forever when he meets three wise men on route to Bethlehem.
60825,473514,5.5,Mulberry St (2006),R | 1h 24min | Horror/ Sci-Fi/ Thriller | 16 November 2006 (Sweden),"A deadly infection breaks out in Manhattan, causing humans to devolve into blood-thirsty rat creatures. Six recently evicted tenants must survive the night and protect their downtown apartment building as the city quickly spirals out of control."
60827,949489,6.7,Ping guo (2007),18 | 1h 52min | Drama | 12 July 2012 (South Korea),"A look at modern-day life in China's capital centered on a menage-a-quatre involving a young woman, her boss, her husband and her boss's wife."
60832,964539,6,Pathology (2008),18 | 1h 35min | Crime/ Thriller | 17 April 2008 (South Korea),A group of medical students devise a deadly game: to see which one of them can commit the perfect murder.
60857,801526,6.2,The Tracey Fragments (2007),R | 1h 17min | Drama | 21 February 2008 (Greece),"15-year-old Tracey Berkowitz is naked under a shower curtain at the back of a bus, looking for her little brother Sonny, who thinks he's a dog."
60880,87545,7.3,Kazoku gemu (1983),1h 47min | Comedy/ Drama | 4 June 1983 (Japan),"A sendup of the stereo-typical Japanese family: dad is a salaryman jerk, unable to relate to anyone; mom is a hopeless housewife; the older son is a moderate academic success; but the younger son is a rebellious goof-off for whom a tutor must be hired. The tutor, played by the prototypical bad-boy actor Matsuda Yusaku, proceeds to blow the entire family apart (Matsuda's role is modeled on the myth of Susano-o no mikoto, the renegade deity who figures in the Kojiki)."
60885,1039652,7,La zona (2007),R | 1h 37min | Drama/ Thriller | 9 November 2007 (Spain),"Residents of an enclosed neighborhood in the middle of Mexico DF are shocked by a violent crime, and for one resident in particular, young Alejandro, the drama is ratcheted up when he encounters the lone kid who escaped the event and is hiding out within the neighborhood's borders."
60887,841084,7.2,Blindsight (2006),PG | 1h 44min | Documentary/ Adventure | 8 August 2008 (UK),"Six blind Tibetan teenagers climb the Lhakpa-Ri peak of Mount Everest, led by seven-summit blind mountain-climber Erik Weihenmayer."
60894,819714,6.3,The Edge of Love (2008),R | 1h 50min | Biography/ Drama/ Romance | 20 June 2008 (UK),"Two feisty, free-spirited women are connected by the brilliant, charismatic poet who loves them both."
60896,19935,7.2,The Godless Girl (1928),1h 53min | Drama | 11 March 1929 (Denmark),"Two teenagers, one an atheist and the other a Christian, fall in love at a brutal reform school."
60930,820162,6.4,Valkoinen kaupunki (2006),1h 32min | Drama/ Romance | 17 November 2006 (Finland),"In a dark and cold Helsinki, an unlucky taxi driver Veli-Matti struggles to maintain relationships with his children and estranged wife. Sometimes, losing everything is just a beginning."
60937,859163,5.2,The Mummy: Tomb of the Dragon Emperor (2008),12 | 1h 52min | Action/ Adventure/ Fantasy | 31 July 2008 (South Korea),"In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago."
60939,1027862,6.1,Swing Vote (2008),12 | 2h | Comedy/ Drama | 15 November 2012 (South Korea),"In a remarkable turn-of-events, the result of the presidential election comes down to one man's vote."
60941,805570,6,The Midnight Meat Train (2008),18 | 1h 38min | Horror/ Mystery/ Thriller | 21 August 2008 (South Korea),"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways."
60943,978759,7.1,Frozen River (2008),R | 1h 37min | Crime/ Drama | 5 September 2008 (USA),"A mom looks for another source of income, when her husband leaves with the money meant for the new mobile home. A nearby Indian territory stretches across the border to Canada with a drivable frozen river between. Smuggling?"
60946,493450,6.7,Sixty Six (2006),PG-13 | 1h 21min | Biography/ Comedy/ Drama | 3 November 2006 (UK),A boy's barmitzvah looks set to be a disaster when it coincides with the 1966 World Cup Final.
60948,914797,6.8,Wine Miracle (2008),15 | 1h 50min | Comedy/ Drama | 13 November 2008 (South Korea),"The story of the early days of California wine making featuring the now infamous, blind Paris wine tasting of 1976 that has come to be known as 'Judgment of Paris'."
60950,497465,7.1,Vicky Cristina Barcelona (2008),15 | 1h 36min | Comedy/ Drama/ Romance | 16 April 2009 (South Korea),"Two friends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture."
60990,55052,7.9,Kohayagawa-ke no aki (1961),1h 43min | Drama | 29 October 1961 (Japan),The family of an older man who runs a small sake brewery become concerned with his finances and his health after they discover him visiting an old mistress from his youth.
60992,428870,8.2,Nae meorisokui jiwoogae (2004),12 | 1h 57min | Drama/ Romance | 5 November 2004 (South Korea),"A Korean love story about a young couple's enduring love, which is tested when 27 year old Sun-jin is diagnosed with a rare form of Alzheimer's disease."
61004,103303,5.6,Year of the Gun (1991),18 | 1h 51min | Action/ Romance/ Thriller | 7 December 1991 (South Korea),"Two young Americans, he a journalist and she a photojournalist, experience Red Brigades terrorists close up in Rome, 1978."
